,JPM,BAC,C,WFC,GS,MS,USB,PNC,TFC,BK,STT,HSBC,BCS,LYG,DB,SAN,BBVA,ING,UBS,MUFG,SMFG,MFG,NMR,RY,TD,BNS,ITUB,BBD,AAPL,MSFT,XOM,WMT,BA,T,TM,VWAGY,SIEGY,PBR,IDCBY,DBSDY,IBN,KB,CMWAY,WBC.AX,1120.SR,QNBK.QA,SGBLY,FANDY
PBR,0.236457,0.287961,0.297289,0.296704,0.256159,0.253343,0.244823,0.244894,0.250667,0.234999,0.262205,0.313114,0.289285,0.279610,0.254561,0.246061,0.231045,0.253362,0.249982,0.243641,0.210647,0.173256,0.247674,0.287183,0.325379,0.302726,0.542229,0.503510,0.121716,0.063369,0.419080,0.006100,0.193050,0.107083,0.196662,0.206951,0.222936,1.000000,0.197461,0.171951,0.191488,0.282958,0.233465,0.122638,0.104679,-0.003416,0.182533,0.069451
IDCBY,0.255176,0.263993,0.263731,0.243832,0.232452,0.253019,0.253046,0.263866,0.248001,0.219000,0.206720,0.348162,0.276570,0.282433,0.249835,0.286378,0.254784,0.269703,0.233238,0.252430,0.248532,0.241038,0.259681,0.314856,0.296290,0.345849,0.212887,0.227429,0.190952,0.203797,0.157291,0.142177,0.203767,0.188693,0.205691,0.239239,0.234440,0.197461,1.000000,0.280546,0.203299,0.327963,0.277449,0.111111,0.112039,0.023687,0.280031,0.137869
DBSDY,0.372601,0.422179,0.428350,0.409347,0.393847,0.411594,0.373484,0.380304,0.404539,0.398038,0.397932,0.396395,0.425847,0.429348,0.427230,0.438773,0.413834,0.450277,0.399232,0.338688,0.365513,0.343892,0.372262,0.466391,0.449575,0.451401,0.317656,0.261959,0.365883,0.357115,0.201004,0.138462,0.346351,0.160534,0.356220,0.353607,0.400312,0.171951,0.280546,1.000000,0.356374,0.473041,0.467352,0.240559,0.120848,0.055383,0.295881,0.140864
IBN,0.477048,0.479744,0.438529,0.491013,0.497858,0.464455,0.411013,0.501939,0.415108,0.461655,0.439736,0.398888,0.482077,0.526579,0.471677,0.478133,0.492038,0.510516,0.437529,0.305711,0.300522,0.306464,0.310033,0.464785,0.470410,0.448410,0.279766,0.259804,0.434268,0.399501,0.170593,0.237323,0.442706,0.224241,0.345237,0.483046,0.459305,0.191488,0.203299,0.356374,1.000000,0.365010,0.379225,0.229228,0.140125,0.049488,0.315793,0.148227
KB,0.494663,0.466201,0.474015,0.419527,0.446347,0.478354,0.385664,0.429806,0.394711,0.423116,0.402851,0.432927,0.492992,0.414093,0.445969,0.456730,0.486856,0.462709,0.419050,0.338177,0.326227,0.276226,0.298391,0.490363,0.473236,0.491147,0.342881,0.271070,0.278494,0.288765,0.247751,0.147112,0.348451,0.226164,0.311762,0.404119,0.398183,0.282958,0.327963,0.473041,0.365010,1.000000,0.452220,0.228990,0.164893,0.086583,0.351936,0.133894
CMWAY,0.504870,0.475015,0.519938,0.463729,0.527160,0.543590,0.467220,0.473460,0.428241,0.512054,0.489972,0.449783,0.533945,0.491387,0.447550,0.516790,0.529672,0.479264,0.502997,0.376853,0.378887,0.339179,0.426687,0.598272,0.570547,0.593792,0.306245,0.241169,0.403271,0.386985,0.321885,0.217525,0.401945,0.284279,0.385423,0.452611,0.504227,0.233465,0.277449,0.467352,0.379225,0.452220,1.000000,0.455591,0.196808,0.001247,0.395379,0.147220
WBC.AX,0.300078,0.335327,0.298181,0.307524,0.294941,0.265373,0.266888,0.247352,0.233366,0.275497,0.253152,0.319227,0.345600,0.265049,0.305728,0.309686,0.285775,0.284873,0.297474,0.217304,0.200537,0.178821,0.267826,0.337037,0.288436,0.336955,0.208263,0.178453,0.232635,0.141996,0.074225,0.136781,0.158309,0.128706,0.195267,0.226741,0.250315,0.122638,0.111111,0.240559,0.229228,0.228990,0.455591,1.000000,0.176828,0.058241,0.196906,0.139393
1120.SR,0.175372,0.207994,0.168386,0.163963,0.209798,0.194886,0.152893,0.175593,0.101171,0.163932,0.148461,0.143586,0.154986,0.141447,0.164226,0.139531,0.168623,0.128447,0.192279,0.101800,0.089978,0.056686,0.087061,0.229349,0.188881,0.250284,0.101621,0.104002,0.090456,0.117619,0.213047,0.122381,0.158232,0.113344,0.129682,0.166435,0.174951,0.104679,0.112039,0.120848,0.140125,0.164893,0.196808,0.176828,1.000000,0.159879,0.137925,0.039210
QNBK.QA,0.055447,0.097602,0.080263,0.092997,0.066435,0.030009,0.115277,0.109222,0.113170,0.083173,0.087820,0.134148,0.050230,0.055160,0.040813,0.075242,0.095557,0.059492,0.051742,-0.077854,-0.061295,-0.077401,-0.021408,0.116120,0.097198,0.059329,0.058973,0.083917,0.017048,0.009905,0.019467,0.051166,0.051665,0.058567,0.005625,0.067656,0.069065,-0.003416,0.023687,0.055383,0.049488,0.086583,0.001247,0.058241,0.159879,1.000000,0.057487,-0.019778
SGBLY,0.329241,0.340804,0.313038,0.306954,0.361474,0.301816,0.321037,0.326622,0.322415,0.287183,0.299791,0.348320,0.394841,0.389768,0.394941,0.419980,0.392437,0.411053,0.363011,0.256873,0.280192,0.240009,0.272864,0.403741,0.379003,0.371375,0.287568,0.265273,0.264264,0.243962,0.112509,0.150527,0.356207,0.167554,0.272034,0.440733,0.415401,0.182533,0.280031,0.295881,0.315793,0.351936,0.395379,0.196906,0.137925,0.057487,1.000000,0.119389
FANDY,0.092585,0.109392,0.091565,0.093412,0.117854,0.109325,0.098303,0.114920,0.109501,0.109151,0.105361,0.178589,0.162486,0.182561,0.122233,0.129062,0.093890,0.101878,0.140827,0.147087,0.113178,0.136986,0.112433,0.141750,0.143634,0.176432,0.106813,0.081911,0.077948,0.081887,0.122938,0.119678,0.137590,0.051181,0.042010,0.095727,0.096194,0.069451,0.137869,0.140864,0.148227,0.133894,0.147220,0.139393,0.039210,-0.019778,0.119389,1.000000
