"CERT","CITYST","COST","FAILDATE","ID","NAME","QBFASSET","QBFDEP","RESTYPE"
19328,"CHICAGO, IL",43691,"1/27/2017","4090","SEAWAY BANK AND TRUST COMPANY",297809,256505,"FAILURE"
35495,"COTTONWOOD HEIGHTS, UT",10092,"3/3/2017","4091","PROFICIO BANK",68208,65042,"FAILURE"
58302,"NEW ORLEANS, LA",754852,"4/28/2017","4092","FIRST NBC BANK",3325870,3032208,"FAILURE"
30003,"MILWAUKEE, WI",131962,"5/5/2017","4093","GUARANTY BANK",1031900,1002026,"FAILURE"
1802,"SAINT ELMO, IL",8088,"5/26/2017","4094","FAYETTE COUNTY BANK",34370,33972,"FAILURE"
17719,"ARGONIA, KS",280,"10/13/2017","4095","THE FARMERS AND MERCHANTS STATE BANK OF ARGONIA",33012,27466,"FAILURE"
30570,"CHICAGO, IL",75199,"12/15/2017","4096","WASHINGTON FEDERAL BANK FOR SAVINGS",166345,143964,"FAILURE"
10716,"COOPER, TX",18263,"5/31/2019","4097","ENLOE STATE BANK",36738,31254,"FAILURE"
58112,"LOUISA, KY",4264,"10/25/2019","4098","LOUISA COMMUNITY BANK",28163,25174,"FAILURE"
58317,"MAUMEE, OH",1571,"10/25/2019","4099","RESOLUTE BANK",23292,22885,"FAILURE"
21111,"NEWARK, NJ",1618,"11/1/2019","4100","CITY NATIONAL BANK OF NEW JERSEY",120574,111234,"FAILURE"
18265,"ERICSON, NE",23279,"2/14/2020","4101","ERICSON STATE BANK",100879,95159,"FAILURE"
14361,"BARBOURSVILLE, WV",43705,"4/3/2020","4102","THE FIRST STATE BANK",151808,143102,"FAILURE"
16748,"FORT WALTON BEACH, FL",7247,"10/16/2020","4103","FIRST CITY BANK OF FLORIDA",136566,133936,"FAILURE"
15426,"ALMENA, KS",15861,"10/23/2020","4104","ALMENA STATE BANK",65733,64941,"FAILURE"
24735,"SANTA CLARA, CA",18894401,"3/10/2023","4105","SILICON VALLEY BANK",209026000,175378000,"FAILURE"
57053,"NEW YORK, NY",0,"3/12/2023","4106","SIGNATURE BANK",110363650,88612911,"FAILURE"
59017,"SAN FRANCISCO, CA",15639197,"5/1/2023","4107","FIRST REPUBLIC BANK",212638872,176436706,"FAILURE"
25851,"ELKHART, KS",43408,"7/28/2023","4108","HEARTLAND TRI-STATE BANK",139446,130110,"FAILURE"
8758,"SAC CITY, IA",14114,"11/3/2023","4109","CITIZENS BANK",60448,52311,"FAILURE"
27332,"PHILADELPHIA, PA",712503,"4/26/2024","4110","REPUBLIC BANK",5866190,4373927,"FAILURE"
4134,"LINDSAY, OK",45030,"10/18/2024","4111","FIRST NB OF LINDSAY",107850,97515,"FAILURE"
